id,model,patrimony,description,created,modified,assetType_id,equipment_id,manufacturer_id,criticalness_id
1,FONTE - PWR-0020-001,,FONTE - PWR-0020-001 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000000,2017-01-01 00:00:00.000000,30,177,1,1
2,CPU - CPU-0020-001,,CPU - CPU-0020-001 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000001,2017-01-01 00:00:00.000001,28,177,1,1
3,MODULO PROFIBUS - MDP-0020-001,,MODULO PROFIBUS - MDP-0020-001 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000002,2017-01-01 00:00:00.000002,31,177,1,1
4,REMOTA - XM-0020-001,,REMOTA - XM-0020-001 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000003,2017-01-01 00:00:00.000003,31,177,1,1
5,REMOTA - XM-0020-002,,REMOTA - XM-0020-002 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000004,2017-01-01 00:00:00.000004,31,177,1,1
6,REMOTA - XM-0020-003,,REMOTA - XM-0020-003 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000005,2017-01-01 00:00:00.000005,31,177,1,1
7,CPU - ETHERNET/IP,,CPU - ETHERNET/IP - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000006,2017-01-01 00:00:00.000006,33,177,1,1
8,PAINEL GERAL - Painel,,PAINEL GERAL - Painel - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000007,2017-01-01 00:00:00.000007,25,177,1,1
9,VENTILADORES - Ventiladores do painel,,VENTILADORES - Ventiladores do painel - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000008,2017-01-01 00:00:00.000008,14,177,1,1
10,ILUNINAÇÃO - Iluminação do painel,,ILUNINAÇÃO - Iluminação do painel - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000009,2017-01-01 00:00:00.000009,21,177,1,1
11,Ar adiabático - Ar adiabático,,Ar adiabático - Ar adiabático - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000010,2017-01-01 00:00:00.000010,2,177,1,1
12,NOBREAK - NOBREAK,,NOBREAK - NOBREAK - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000011,2017-01-01 00:00:00.000011,22,177,1,1
13,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº1,,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº1 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000012,2017-01-01 00:00:00.000012,40,180,1,1
14,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº2,,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº2 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000013,2017-01-01 00:00:00.000013,40,180,1,1
15,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº3,,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº3 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000014,2017-01-01 00:00:00.000014,40,180,1,1
16,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº4,,SENSOR - Sensor de tombamento automatico de cana do hillo nº1 sensor nº4 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000015,2017-01-01 00:00:00.000015,40,180,1,1
17,ILUMINAÇÃO - Sinal luminoso e Sonoro de parada do caminhão do Hillo Nº1,,ILUMINAÇÃO - Sinal luminoso e Sonoro de parada do caminhão do Hillo Nº1 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000016,2017-01-01 00:00:00.000016,1,180,1,1
18,SENSOR - Sensor de tombamento automatico de cana do hillo nº2 sensor nº1,,SENSOR - Sensor de tombamento automatico de cana do hillo nº2 sensor nº1 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000017,2017-01-01 00:00:00.000017,40,183,1,1
