id,code,name,description,created,modified
1,YAVS,SINAL AUDIO E VISUAL,,2017-01-01 00:00:00.000000,2017-01-01 00:00:00.000000
2,YACA,SISTEMA ADIABÁTICO CONDICIONAMENTO DE AR,,2017-01-01 00:00:00.000001,2017-01-01 00:00:00.000001
3,YAIT,TRANSMISSOR INDICADOR ANALÍTICO,,2017-01-01 00:00:00.000002,2017-01-01 00:00:00.000002
4,YCAP,ATUADOR PNEUMATICO DE COLETA,,2017-01-01 00:00:00.000003,2017-01-01 00:00:00.000003
5,YCFO,CONVERSOR DE FIBRA ÓPTICA,,2017-01-01 00:00:00.000004,2017-01-01 00:00:00.000004
6,YCM,MÓDULO DE COMUNICAÇÃO,,2017-01-01 00:00:00.000005,2017-01-01 00:00:00.000005
7,YCMV,CÂMERA VIDEO DE MONITORAMENTO,,2017-01-01 00:00:00.000006,2017-01-01 00:00:00.000006
8,YCPU,MICRO COMPUTADOR,,2017-01-01 00:00:00.000007,2017-01-01 00:00:00.000007
9,YDIT,TRANSMISSOR INDICADOR DE DENSIDADE,,2017-01-01 00:00:00.000008,2017-01-01 00:00:00.000008
10,YDVR,GRAVADOR DIGITAL DE VÍDEO,,2017-01-01 00:00:00.000009,2017-01-01 00:00:00.000009
11,YECA,ELEMENTO DE AR CONDICIONADO,,2017-01-01 00:00:00.000010,2017-01-01 00:00:00.000010
12,YFCV,VALVULA CONTROLE DE FLUXO,,2017-01-01 00:00:00.000011,2017-01-01 00:00:00.000011
13,YFIT,TRANSMISSOR INDICADOR DE FLUXO,,2017-01-01 00:00:00.000012,2017-01-01 00:00:00.000012
14,YFPE,VENTILADOR PAINEL,,2017-01-01 00:00:00.000013,2017-01-01 00:00:00.000013
15,YFR,CALHA PARSHAL,,2017-01-01 00:00:00.000014,2017-01-01 00:00:00.000014
16,YHMI,INTERFACE HOMEM MÁQUINA,,2017-01-01 00:00:00.000015,2017-01-01 00:00:00.000015
17,YLC,CONTROLADOR LÓGICO,,2017-01-01 00:00:00.000016,2017-01-01 00:00:00.000016
18,YLCV,VALVULA CONTROLE DE NÍVEL,,2017-01-01 00:00:00.000017,2017-01-01 00:00:00.000017
19,YLE,ELEMENTO DE NIVEL,,2017-01-01 00:00:00.000018,2017-01-01 00:00:00.000018
20,YLIT,TRANSMISSOR INDICADOR DE NÍVEL,,2017-01-01 00:00:00.000019,2017-01-01 00:00:00.000019
21,YLPE,ILUMINAÇÃO PAINEL,,2017-01-01 00:00:00.000020,2017-01-01 00:00:00.000020
22,YNBK,NOBREAK,,2017-01-01 00:00:00.000021,2017-01-01 00:00:00.000021
23,YPCD,DAMPER CONTROLE DE PRESSÃO,,2017-01-01 00:00:00.000022,2017-01-01 00:00:00.000022
24,YPCV,VALVULA CONTROLE DE PRESSÃO,,2017-01-01 00:00:00.000023,2017-01-01 00:00:00.000023
25,YPE,PAINEL,,2017-01-01 00:00:00.000024,2017-01-01 00:00:00.000024
26,YPI,INDICADOR DE PRESSÃO,,2017-01-01 00:00:00.000025,2017-01-01 00:00:00.000025
27,YPIT,TRANSMISSOR INDICADOR DE PRESSÃO,,2017-01-01 00:00:00.000026,2017-01-01 00:00:00.000026
28,YPLC,CONTROLADOR LÓGICO PROGRAMAVEL,,2017-01-01 00:00:00.000027,2017-01-01 00:00:00.000027
29,YPP,BOMBA PNEUMATICA,,2017-01-01 00:00:00.000028,2017-01-01 00:00:00.000028
30,YPS,FONTE DE ALIMENTAÇÃO,,2017-01-01 00:00:00.000029,2017-01-01 00:00:00.000029
31,YRM,MÓDULO REMOTA,,2017-01-01 00:00:00.000030,2017-01-01 00:00:00.000030
32,YSIT,TRANSMISSOR INDICADOR DE VELOCIDADE,,2017-01-01 00:00:00.000031,2017-01-01 00:00:00.000031
33,YSWT,SWITCH ETHERNET,,2017-01-01 00:00:00.000032,2017-01-01 00:00:00.000032
34,YTCV,VALVULA CONTROLE DE TEMPERATURA,,2017-01-01 00:00:00.000033,2017-01-01 00:00:00.000033
35,YTE,ELEMENTO DE TEMPERATURA,,2017-01-01 00:00:00.000034,2017-01-01 00:00:00.000034
36,YTIT,TRANSMISSOR INDICADOR DE TEMPERATURA,,2017-01-01 00:00:00.000035,2017-01-01 00:00:00.000035
37,YTV,MONITOR DE CÂMERAS,,2017-01-01 00:00:00.000036,2017-01-01 00:00:00.000036
38,YTY,CONVERSOR DE TEMPERATURA,,2017-01-01 00:00:00.000037,2017-01-01 00:00:00.000037
39,YXV,VALVULA ON/OFF,,2017-01-01 00:00:00.000038,2017-01-01 00:00:00.000038
40,YZE,ELEMENTO DE POSIÇÃO,,2017-01-01 00:00:00.000039,2017-01-01 00:00:00.000039
41,YZIT,TRANSMISSOR INDICADOR DE POSIÇÃO,,2017-01-01 00:00:00.000040,2017-01-01 00:00:00.000040
